order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-59e1d938,2025-10-10,-7.848349,38.016945,beja,10,normal,2025-10-21 22:26:34.029051+00:00
ord-2e98a4f7,2025-10-10,-7.923324,38.566126,évora,20,normal,2025-10-21 22:26:34.029051+00:00
ord-cf4f3aa0,2025-10-10,-6.743249,41.82032,bragança,10,high,2025-10-21 22:26:34.029051+00:00
ord-837fadd9,2025-10-10,-7.891582,38.010861,beja,5,low,2025-10-21 22:26:34.029051+00:00
ord-1d77ab15,2025-10-10,-7.283858,40.535768,guarda,5,normal,2025-10-21 22:26:34.029051+00:00
ord-f2238ac7,2025-10-10,-6.767059,41.804888,bragança,15,normal,2025-10-21 22:26:34.029051+00:00
ord-f388c36e,2025-10-10,-8.878079,38.537677,setúbal,15,low,2025-10-21 22:26:34.029051+00:00
ord-d1b9c574,2025-10-10,-7.519737,39.823777,castelo branco,15,low,2025-10-21 22:26:34.029051+00:00
ord-06f03a1c,2025-10-10,-8.412326,41.55147,braga,5,low,2025-10-21 22:26:34.029051+00:00
ord-0c2dd115,2025-10-10,-7.893346,40.665853,viseu,10,low,2025-10-21 22:26:34.029051+00:00
ord-cf4a3419,2025-10-10,-7.480732,39.824759,castelo branco,10,normal,2025-10-21 22:26:34.029051+00:00
